Datum;Kód;Země;Množství;Nakupujeme hotovostně;Prodáváme hotovostně;Střed hotovostně;Nakupujeme bezhotovostně;Prodáváme bezhotovostně;Střed bezhotovostně;Střed ČNB;Změna;Střed ECB
31. 12. 2021;USD;USA;1;21.210;22.750;21.981;21.432;22.531;21.981;21.951;0.050;1.133
31. 12. 2021;AUD;Austrálie;1;15.430;16.550;15.988;15.588;16.388;15.988;15.919;0.350;1.562
31. 12. 2021;GBP;Velká Británie;1;28.670;30.750;29.711;28.968;30.454;29.711;29.585;0.280;0.840
31. 12. 2021;BGN;Bulharsko;1;-;-;-;12.422;13.059;12.741;12.711;-0.110;1.956
31. 12. 2021;HRK;Chorvatsko;1;3.200;3.430;3.314;3.231;3.396;3.314;3.307;-0.090;7.516
31. 12. 2021;DKK;Dánsko;1;3.230;3.470;3.351;3.267;3.435;3.351;3.343;-0.120;7.436
31. 12. 2021;EUR;EU;1;24.050;25.790;24.920;24.297;25.543;24.920;24.860;-0.120;-
31. 12. 2021;HKD;Hongkong;1;-;-;-;2.748;2.889;2.818;2.815;-;8.833
31. 12. 2021;JPY;Japonsko;100;18.430;19.770;19.100;18.622;19.577;19.100;19.069;-0.220;13038.000
31. 12. 2021;ZAR;JAR;1;-;-;-;1.342;1.411;1.376;1.376;-0.430;18.063
31. 12. 2021;CAD;Kanada;1;16.600;17.800;17.197;16.767;17.627;17.197;17.275;0.270;1.439
31. 12. 2021;HUF;Maďarsko;100;6.490;6.960;6.729;6.561;6.897;6.729;6.734;-0.090;36919.000
31. 12. 2021;NOK;Norsko;1;2.410;2.590;2.498;2.436;2.561;2.498;2.488;-0.080;9.989
31. 12. 2021;NZD;Nový Zéland;1;-;-;-;14.692;15.446;15.069;14.992;0.480;1.658
31. 12. 2021;PLN;Polsko;1;5.230;5.610;5.422;5.287;5.558;5.422;5.408;-0.040;4.597
31. 12. 2021;RON;Rumunsko;1;-;-;-;4.908;5.160;5.034;5.023;-0.120;4.949
31. 12. 2021;RUB;Rusko;100;-;-;-;28.661;30.131;29.396;29.147;-0.930;8530.000
31. 12. 2021;TND;Tunisko;1;-;-;-;7.450;7.832;7.641;-;-0.050;-
31. 12. 2021;TRY;Turecko;1;-;-;-;1.633;1.717;1.675;1.631;-3.400;15.234
31. 12. 2021;SEK;Švédsko;1;2.350;2.520;2.433;2.372;2.494;2.433;2.425;0.040;10.250
31. 12. 2021;CHF;Švýcarsko;1;23.220;24.910;24.064;23.462;24.665;24.064;24.066;0.100;1.033
